PDE,BC,IC,Data
269.99285888671875,739.2980346679688,153.4290771484375,44.69648361206055
269.99285888671875,739.2980346679688,153.4290771484375,44.69648361206055
285.8056640625,721.9444580078125,151.06967163085938,44.626731872558594
271.4764099121094,739.6214599609375,151.5727996826172,43.696468353271484
280.6300048828125,731.0565185546875,149.30368041992188,43.353328704833984
286.0113830566406,725.0118408203125,146.6136474609375,43.12435531616211
287.952392578125,722.8812255859375,143.05221557617188,43.19264221191406
282.92645263671875,726.875244140625,140.85061645507812,42.795223236083984
280.993896484375,734.5506591796875,133.59898376464844,41.6936149597168
279.2726135253906,736.635009765625,128.3318634033203,40.77545166015625
285.9163818359375,726.406005859375,124.00997924804688,39.764732360839844
258.5574951171875,725.0110473632812,117.26715087890625,41.81126403808594
290.97918701171875,656.8717041015625,125.91478729248047,42.42086410522461
272.4335632324219,651.7832641601562,130.1069793701172,43.330928802490234
272.5167236328125,616.3239135742188,131.48037719726562,46.23876190185547
258.711669921875,627.1222534179688,130.68502807617188,45.9237060546875
256.378173828125,631.3301391601562,127.48387145996094,45.71211624145508
261.7704772949219,629.761962890625,122.67559814453125,45.61735534667969
250.80873107910156,628.787109375,120.99459838867188,46.67467498779297
251.51559448242188,622.641357421875,126.24844360351562,46.53034973144531
247.22267150878906,616.3515625,132.31292724609375,46.746009826660156
249.326416015625,610.0963745117188,134.22996520996094,46.67788314819336
249.326416015625,610.0963745117188,134.22996520996094,46.67788314819336
244.46360778808594,605.2164306640625,135.44276428222656,46.921913146972656
240.9638214111328,596.6407470703125,133.70326232910156,47.00501251220703
238.77694702148438,585.82275390625,129.79476928710938,47.13664245605469
254.580810546875,556.2119140625,126.21733093261719,46.84507751464844
170.43312072753906,626.8751220703125,124.65425109863281,51.10926818847656
213.86680603027344,572.4495849609375,125.37576293945312,48.24918746948242
236.40585327148438,554.7758178710938,112.55186462402344,50.4085807800293
219.77980041503906,555.7918701171875,119.75595092773438,48.48015594482422
211.94903564453125,538.5314331054688,123.276123046875,49.810184478759766
201.82357788085938,546.1061401367188,125.8192367553711,49.189170837402344
219.402099609375,533.4003295898438,119.17579650878906,48.95524215698242
201.8460693359375,555.4168701171875,114.96658325195312,48.527671813964844
207.60870361328125,542.2402954101562,116.62054443359375,48.70036315917969
210.33932495117188,534.0745849609375,117.96451568603516,48.71597671508789
218.33346557617188,523.819580078125,115.9055404663086,48.476070404052734
229.40440368652344,522.6893310546875,110.77168273925781,47.27629089355469
224.6012725830078,535.3311157226562,105.2227783203125,46.396236419677734
226.4049530029297,541.57763671875,102.12303161621094,45.59850311279297
225.71531677246094,540.5289916992188,103.11788177490234,45.36649703979492
214.93739318847656,548.0659790039062,105.79078674316406,44.9715576171875
216.7177276611328,551.061279296875,105.23808288574219,44.06262969970703
210.0403594970703,557.8367309570312,102.46770477294922,43.62968063354492
210.0403594970703,557.8367309570312,102.46770477294922,43.62968063354492
207.1059112548828,565.9443359375,96.4638671875,42.66106033325195
203.15623474121094,575.559326171875,86.96195983886719,41.88712692260742
194.0658721923828,575.4620971679688,80.44303894042969,42.1982307434082
190.02061462402344,570.17919921875,72.9095687866211,42.59090042114258
184.06198120117188,553.7048950195312,73.25331115722656,43.89246368408203
187.590087890625,534.7764282226562,76.88196563720703,44.57854461669922
184.3998260498047,530.7221069335938,75.55463409423828,44.99955368041992
181.3516082763672,527.7520751953125,73.09297180175781,45.37164306640625
182.2290802001953,520.194580078125,65.87885284423828,46.220977783203125
178.03875732421875,515.1593627929688,62.330284118652344,46.90896224975586
184.23455810546875,494.3846435546875,55.05841064453125,48.41128921508789
177.1887969970703,495.48773193359375,54.9304313659668,48.57817459106445
184.74900817871094,488.99200439453125,55.84919738769531,48.08547592163086
183.53860473632812,485.6112976074219,54.54216766357422,48.37822723388672
184.3275909423828,483.97198486328125,53.724700927734375,48.278160095214844
185.55941772460938,478.45733642578125,52.34105682373047,48.363826751708984
185.73121643066406,475.03167724609375,51.122650146484375,48.31840896606445
178.06280517578125,479.14697265625,51.391841888427734,47.813331604003906
190.6598358154297,461.8352966308594,52.454444885253906,47.54070281982422
175.2624053955078,473.67742919921875,55.833778381347656,46.89678192138672
175.2624053955078,473.67742919921875,55.833778381347656,46.89678192138672
173.8825225830078,468.3047180175781,62.14936828613281,46.29110336303711
175.51881408691406,462.95379638671875,65.68701934814453,45.890228271484375
177.5535888671875,459.56817626953125,67.89429473876953,45.49849319458008
177.52236938476562,458.039306640625,65.33953094482422,45.642372131347656
178.4771728515625,458.0935363769531,62.118831634521484,45.363746643066406
161.7266845703125,466.5176696777344,57.39560317993164,45.67658233642578
171.44859313964844,458.6875915527344,54.91143035888672,44.83667755126953
170.87973022460938,443.90484619140625,56.623695373535156,44.87730026245117
169.09622192382812,421.15301513671875,64.35183715820312,44.727230072021484
169.47225952148438,397.0633544921875,70.24458312988281,45.42997360229492
156.93069458007812,398.2620849609375,71.26773071289062,45.29547882080078
