x,z,rho
3.781512451171875000e+01,0.000000000000000000e+00,1.426973752677440643e-02
3.823529434204101562e+01,0.000000000000000000e+00,1.401389576494693756e-02
3.865546035766601562e+01,0.000000000000000000e+00,1.377437263727188110e-02
3.907563018798828125e+01,0.000000000000000000e+00,1.355122122913599014e-02
3.949580001831054688e+01,0.000000000000000000e+00,1.334422733634710312e-02
3.991596603393554688e+01,0.000000000000000000e+00,1.315291412174701691e-02
4.033613586425781250e+01,0.000000000000000000e+00,1.297663990408182144e-02
4.075630187988281250e+01,0.000000000000000000e+00,1.281460002064704895e-02
4.117647171020507812e+01,0.000000000000000000e+00,1.266592182219028473e-02
4.159663772583007812e+01,0.000000000000000000e+00,1.252965815365314484e-02
4.201680755615234375e+01,0.000000000000000000e+00,1.240485254675149918e-02
4.243697357177734375e+01,0.000000000000000000e+00,1.229055877774953842e-02
4.285714340209960938e+01,0.000000000000000000e+00,1.218584459275007248e-02
4.327730941772460938e+01,0.000000000000000000e+00,1.208984944969415665e-02
4.369747924804687500e+01,0.000000000000000000e+00,1.200173888355493546e-02
4.411764526367187500e+01,0.000000000000000000e+00,1.192073151469230652e-02
4.453781509399414062e+01,0.000000000000000000e+00,1.184612140059471130e-02
4.495798492431640625e+01,0.000000000000000000e+00,1.177725568413734436e-02
4.537815093994140625e+01,0.000000000000000000e+00,1.171354856342077255e-02
4.579832077026367188e+01,0.000000000000000000e+00,1.165445335209369659e-02
4.621848678588867188e+01,0.000000000000000000e+00,1.159949414432048798e-02
4.663865661621093750e+01,0.000000000000000000e+00,1.154823508113622665e-02
4.705882263183593750e+01,0.000000000000000000e+00,1.150029525160789490e-02
4.747899246215820312e+01,0.000000000000000000e+00,1.145532354712486267e-02
4.789915847778320312e+01,0.000000000000000000e+00,1.141301915049552917e-02
4.831932830810546875e+01,0.000000000000000000e+00,1.137312781065702438e-02
4.873949432373046875e+01,0.000000000000000000e+00,1.133539620786905289e-02
4.915966415405273438e+01,0.000000000000000000e+00,1.129962783306837082e-02
4.957983016967773438e+01,0.000000000000000000e+00,1.126564759761095047e-02
5.000000000000000000e+01,0.000000000000000000e+00,1.123330742120742798e-02
0.000000000000000000e+00,3.797468245029449463e-01,7.650182342529296875e+01
4.201680719852447510e-01,3.797468245029449463e-01,7.665248870849609375e+01
8.403361439704895020e-01,3.797468245029449463e-01,7.684179687500000000e+01
1.260504245758056641e+00,3.797468245029449463e-01,7.701332092285156250e+01
1.680672287940979004e+00,3.797468245029449463e-01,7.715575408935546875e+01
2.100840330123901367e+00,3.797468245029449463e-01,7.725228118896484375e+01
2.521008491516113281e+00,3.797468245029449463e-01,7.725780487060546875e+01
2.941176414489746094e+00,3.797468245029449463e-01,7.706408691406250000e+01
3.361344575881958008e+00,3.797468245029449463e-01,7.642919158935546875e+01
3.781512498855590820e+00,3.797468245029449463e-01,7.485605621337890625e+01
4.201680660247802734e+00,3.797468245029449463e-01,7.147819519042968750e+01
4.621848583221435547e+00,3.797468245029449463e-01,6.531577301025390625e+01
5.042016983032226562e+00,3.797468245029449463e-01,5.628509902954101562e+01
5.462184906005859375e+00,3.797468245029449463e-01,4.589226531982421875e+01
5.882352828979492188e+00,3.797468245029449463e-01,3.779273223876953125e+01
6.302521228790283203e+00,3.797468245029449463e-01,3.389185714721679688e+01
6.722689151763916016e+00,3.797468245029449463e-01,3.138963127136230469e+01
7.142857074737548828e+00,3.797468245029449463e-01,2.791434288024902344e+01
7.563024997711181641e+00,3.797468245029449463e-01,2.215346908569335938e+01
7.983193397521972656e+00,3.797468245029449463e-01,1.271075534820556641e+01
8.403361320495605469e+00,3.797468245029449463e-01,1.847569465637207031e+00
8.823529243469238281e+00,3.797468245029449463e-01,2.020940929651260376e-01
9.243697166442871094e+00,3.797468245029449463e-01,8.155184984207153320e-02
9.663865089416503906e+00,3.797468245029449463e-01,5.440222471952438354e-02
1.008403396606445312e+01,3.797468245029449463e-01,5.141368508338928223e-02
1.050420188903808594e+01,3.797468245029449463e-01,6.661855429410934448e-02
1.092436981201171875e+01,3.797468245029449463e-01,1.786512434482574463e-01
1.134453773498535156e+01,3.797468245029449463e-01,5.006284117698669434e-01
1.176470565795898438e+01,3.797468245029449463e-01,7.956792712211608887e-01
1.218487358093261719e+01,3.797468245029449463e-01,9.293324947357177734e-01
1.260504245758056641e+01,3.797468245029449463e-01,9.824610352516174316e-01
1.302521038055419922e+01,3.797468245029449463e-01,1.004306316375732422e+00
1.344537830352783203e+01,3.797468245029449463e-01,1.013356089591979980e+00
1.386554622650146484e+01,3.797468245029449463e-01,1.016989588737487793e+00
1.428571414947509766e+01,3.797468245029449463e-01,1.018264293670654297e+00
1.470588207244873047e+01,3.797468245029449463e-01,1.018488645553588867e+00
1.512604999542236328e+01,3.797468245029449463e-01,1.018239974975585938e+00
1.554621887207031250e+01,3.797468245029449463e-01,1.017780065536499023e+00
1.596638679504394531e+01,3.797468245029449463e-01,1.017227888107299805e+00
1.638655471801757812e+01,3.797468245029449463e-01,1.016637802124023438e+00
1.680672264099121094e+01,3.797468245029449463e-01,1.016032457351684570e+00
1.722689056396484375e+01,3.797468245029449463e-01,1.015420436859130859e+00
1.764705848693847656e+01,3.797468245029449463e-01,1.014802336692810059e+00
1.806722640991210938e+01,3.797468245029449463e-01,1.014175176620483398e+00
