x,y,t,u
-0.375,-0.6875,0.0,8.398624490766039e-23
-0.375,-0.625,0.0,4.891139711824088e-20
-0.375,-0.5625,0.0,1.9690536946828273e-17
-0.375,-0.5,0.0,6.813891991903922e-17
-0.375,-0.4375,0.0,2.6613457036461857e-14
-0.375,-0.375,0.0,4.848862978150984e-12
-0.375,-0.3125,0.0,1.4319744043167182e-11
-0.375,-0.25,0.0,1.788081509430763e-09
-0.375,-0.1875,0.0,6.242863184025586e-08
-0.375,-0.125,0.0,2.4423607876290313e-07
-0.375,-0.0625,0.0,5.544059477516134e-06
-0.375,0.0,0.0,1.3336804182656353e-05
-0.375,0.0625,0.0,0.00015143409445580663
-0.375,0.125,0.0,0.0005592141054317429
-0.375,0.1875,0.0,0.0015206579897733142
-0.375,0.25,0.0,0.003470427209972953
-0.375,0.3125,0.0,0.005844264293508787
-0.375,0.375,0.0,0.007282045995879654
-0.375,0.4375,0.0,0.007144059472316767
-0.375,0.5,0.0,0.0053804508204578815
-0.375,0.5625,0.0,0.0029442280756192844
-0.375,0.625,0.0,0.0012651783335060084
-0.375,0.6875,0.0,0.000350895002884993
-0.375,0.75,0.0,6.579757454422023e-05
-0.375,0.8125,0.0,9.435670864584037e-06
-0.375,0.875,0.0,1.1383297326472897e-06
-0.375,0.9375,0.0,1.0324893582551839e-07
-0.375,1.0,0.0,4.473999378935085e-09
-0.3125,-1.0,0.0,1.8952671669965285e-36
-0.3125,-0.9375,0.0,8.412181248684455e-33
-0.3125,-0.875,0.0,2.4681020740337956e-30
-0.3125,-0.8125,0.0,8.060561421521282e-28
-0.3125,-0.75,0.0,3.781292089820252e-25
-0.3125,-0.6875,0.0,2.218347228788247e-22
-0.3125,-0.625,0.0,1.2919075304855616e-19
-0.3125,-0.5625,0.0,5.200904995499451e-17
-0.3125,-0.5,0.0,1.7997683351745872e-16
-0.3125,-0.4375,0.0,7.029471162833878e-14
-0.3125,-0.375,0.0,1.2807408834841325e-11
-0.3125,-0.3125,0.0,3.782305608500846e-11
-0.3125,-0.25,0.0,4.722899167184279e-09
-0.3125,-0.1875,0.0,1.6489412354622592e-07
-0.3125,-0.125,0.0,6.451061469523767e-07
-0.3125,-0.0625,0.0,1.4643646696797824e-05
-0.3125,0.0,0.0,3.5226795330611026e-05
-0.3125,0.0625,0.0,0.00039998621696855506
-0.3125,0.125,0.0,0.0014770645627122895
-0.3125,0.1875,0.0,0.0040165475206769925
-0.3125,0.25,0.0,0.009166516007971495
-0.3125,0.3125,0.0,0.015436584305043534
-0.3125,0.375,0.0,0.01923422885810528
-0.3125,0.4375,0.0,0.018869762007024605
-0.3125,0.5,0.0,0.014211503538843828
-0.3125,0.5625,0.0,0.00777665461725492
-0.3125,0.625,0.0,0.0033417434642324367
-0.3125,0.6875,0.0,0.0009268267179957825
-0.3125,0.75,0.0,0.00017379258628795536
-0.3125,0.8125,0.0,2.4922645770413346e-05
-0.3125,0.875,0.0,3.006695454287489e-06
